Fecha;Concepto;Valor;Valor Ponderado;Variacion indice;Varacion indice ponderado;Variación porcentual
2018-01-01;Alimentos;99.3700;19.1797;0.0000;0.0000;0.0000
2018-02-01;Alimentos;99.0400;19.1160;-0.3300;-0.0637;-0.0033
2018-03-01;Alimentos;99.1600;19.1392;0.1200;0.0232;0.0012
2018-04-01;Alimentos;99.5400;19.2125;0.3800;0.0733;0.0038
2018-05-01;Alimentos;99.3400;19.1739;-0.2000;-0.0386;-0.0020
2018-06-01;Alimentos;99.6300;19.2299;0.2900;0.0560;0.0029
2018-07-01;Alimentos;100.0100;19.3032;0.3800;0.0733;0.0038
2018-08-01;Alimentos;100.2900;19.3573;0.2800;0.0540;0.0028
2018-09-01;Alimentos;100.4800;19.3940;0.1900;0.0367;0.0019
2018-10-01;Alimentos;101.0700;19.5078;0.5900;0.1139;0.0059
2018-11-01;Alimentos;101.3000;19.5522;0.2300;0.0444;0.0023
2018-12-01;Alimentos;100.7700;19.4499;-0.5300;-0.1023;-0.0052
2019-01-01;Alimentos;100.5000;19.3978;-0.2700;-0.0521;-0.0027
2019-02-01;Alimentos;100.2500;19.3496;-0.2500;-0.0483;-0.0025
2019-03-01;Alimentos;101.0800;19.5098;0.8300;0.1602;0.0083
2019-04-01;Alimentos;101.5600;19.6024;0.4800;0.0926;0.0047
2019-05-01;Alimentos;101.5500;19.6005;-0.0100;-0.0019;-0.0001
2019-06-01;Alimentos;102.0300;19.6931;0.4800;0.0926;0.0047
2019-07-01;Alimentos;102.2600;19.7375;0.2300;0.0444;0.0023
2019-08-01;Alimentos;102.9500;19.8707;0.6900;0.1332;0.0067
2019-09-01;Alimentos;102.9200;19.8649;-0.0300;-0.0058;-0.0003
2019-10-01;Alimentos;103.7700;20.0290;0.8500;0.1641;0.0083
2019-11-01;Alimentos;105.1100;20.2876;1.3400;0.2586;0.0129
2019-12-01;Alimentos;104.5400;20.1776;-0.5700;-0.1100;-0.0054
2020-01-01;Alimentos;105.6200;20.3860;1.0800;0.2085;0.0103
2020-02-01;Alimentos;106.3900;20.5347;0.7700;0.1486;0.0073
2020-03-01;Alimentos;107.2100;20.6929;0.8200;0.1583;0.0077
2020-04-01;Alimentos;108.2800;20.8995;1.0700;0.2065;0.0100
2020-05-01;Alimentos;108.2400;20.8917;-0.0400;-0.0077;-0.0004
2020-06-01;Alimentos;108.5700;20.9554;0.3300;0.0637;0.0030
2020-07-01;Alimentos;109.2000;21.0770;0.6300;0.1216;0.0058
2020-08-01;Alimentos;109.4500;21.1253;0.2500;0.0483;0.0023
2020-09-01;Alimentos;111.4400;21.5094;1.9900;0.3841;0.0182
2020-10-01;Alimentos;112.0900;21.6348;0.6500;0.1255;0.0058
2020-11-01;Alimentos;112.3000;21.6754;0.2100;0.0405;0.0019
2020-12-01;Alimentos;112.5200;21.7178;0.2200;0.0425;0.0020
2021-01-01;Alimentos;113.8800;21.9803;1.3600;0.2625;0.0121
2021-02-01;Alimentos;113.2600;21.8607;-0.6200;-0.1197;-0.0054
2021-03-01;Alimentos;112.8100;21.7738;-0.4500;-0.0869;-0.0040
2021-04-01;Alimentos;113.7000;21.9456;0.8900;0.1718;0.0079
2021-05-01;Alimentos;113.4800;21.9031;-0.2200;-0.0425;-0.0019
2021-06-01;Alimentos;113.5300;21.9128;0.0500;0.0097;0.0004
2021-07-01;Alimentos;114.7000;22.1386;1.1700;0.2258;0.0103
2021-08-01;Alimentos;114.7900;22.1560;0.0900;0.0174;0.0008
2021-09-01;Alimentos;117.2000;22.6211;2.4100;0.4652;0.0210
2021-10-01;Alimentos;118.0300;22.7813;0.8300;0.1602;0.0071
2021-11-01;Alimentos;118.1100;22.7968;0.0800;0.0154;0.0007
2021-12-01;Alimentos;118.7100;22.9126;0.6000;0.1158;0.0051
