Tipo;Periodo;Indice;Variacion Indice;Varacion porcentual
IPC General;2018-01-01;98.5725;0.0000;0.00%
IPC General;2018-02-01;98.6168;0.0443;0.04%
IPC General;2018-03-01;98.8186;0.2018;0.20%
IPC General;2018-04-01;99.1310;0.3124;0.32%
IPC General;2018-05-01;99.4083;0.2773;0.28%
IPC General;2018-06-01;99.5108;0.1025;0.10%
IPC General;2018-07-01;99.8632;0.3525;0.35%
IPC General;2018-08-01;100.0349;0.1716;0.17%
IPC General;2018-09-01;100.3749;0.3400;0.34%
IPC General;2018-10-01;100.7428;0.3679;0.37%
IPC General;2018-11-01;100.7375;-0.0053;-0.01%
IPC General;2018-12-01;100.6356;-0.1018;-0.10%
IPC General;2019-01-01;100.7481;0.1124;0.11%
IPC General;2019-02-01;100.7946;0.0465;0.05%
IPC General;2019-03-01;101.2727;0.4780;0.47%
IPC General;2019-04-01;101.5366;0.2639;0.26%
IPC General;2019-05-01;102.1503;0.6137;0.60%
IPC General;2019-06-01;102.2002;0.0498;0.05%
IPC General;2019-07-01;102.4287;0.2285;0.22%
IPC General;2019-08-01;102.6204;0.1918;0.19%
IPC General;2019-09-01;102.6329;0.0124;0.01%
IPC General;2019-10-01;103.4654;0.8325;0.81%
IPC General;2019-11-01;103.5532;0.0878;0.08%
IPC General;2019-12-01;103.6560;0.1028;0.10%
IPC General;2020-01-01;104.2429;0.5869;0.57%
IPC General;2020-02-01;104.7103;0.4674;0.45%
IPC General;2020-03-01;105.0564;0.3462;0.33%
IPC General;2020-04-01;105.0137;-0.0427;-0.04%
IPC General;2020-05-01;104.9615;-0.0522;-0.05%
IPC General;2020-06-01;104.8860;-0.0755;-0.07%
IPC General;2020-07-01;104.9912;0.1052;0.10%
IPC General;2020-08-01;105.1299;0.1387;0.13%
IPC General;2020-09-01;105.7978;0.6678;0.64%
IPC General;2020-10-01;106.5243;0.7266;0.69%
IPC General;2020-11-01;106.3781;-0.1462;-0.14%
IPC General;2020-12-01;106.7375;0.3594;0.34%
IPC General;2021-01-01;107.4871;0.7496;0.70%
IPC General;2021-02-01;107.6863;0.1992;0.19%
IPC General;2021-03-01;108.0905;0.4042;0.38%
IPC General;2021-04-01;108.4980;0.4075;0.38%
IPC General;2021-05-01;108.7895;0.2915;0.27%
IPC General;2021-06-01;108.8762;0.0867;0.08%
IPC General;2021-07-01;109.7570;0.8808;0.81%
IPC General;2021-08-01;110.1514;0.3944;0.36%
IPC General;2021-09-01;111.4488;1.2974;1.18%
IPC General;2021-10-01;112.9434;1.4945;1.34%
IPC General;2021-11-01;113.5067;0.5633;0.50%
IPC General;2021-12-01;114.3937;0.8869;0.78%
IPC General;2022-01-01;115.7677;1.3740;1.20%
IPC General;2022-02-01;116.1026;0.3350;0.29%
IPC General;2022-03-01;118.2557;2.1531;1.85%
IPC General;2022-04-01;119.9093;1.6535;1.40%
IPC General;2022-05-01;121.3468;1.4375;1.20%
IPC General;2022-06-01;122.4785;1.1317;0.93%
